frame,time
1767,78.012
1768,78.076
1769,78.141
1770,78.173
1771,78.238
1772,78.270
1773,78.335
1774,78.367
1775,78.431
1776,78.464
1777,78.528
1778,78.593
1779,78.625
1780,78.689
1781,78.722
1782,78.786
1783,78.818
1784,78.883
1785,78.915
1786,78.980
1787,79.044
1788,79.077
1789,79.141
1790,79.173
1791,79.238
1792,79.270
1793,79.335
1794,79.367
1795,79.431
1796,79.496
1797,79.528
1798,79.593
1799,79.625
1800,79.689
1801,79.722
1802,79.786
1803,79.819
1804,79.883
1805,79.948
1806,79.980
1807,80.044
1808,80.077
1809,80.141
1810,80.173
1811,80.238
1812,80.270
1813,80.335
1814,80.399
1815,80.431
1816,80.496
1817,80.528
1818,80.593
1819,80.625
1820,80.690
1821,80.722
1822,80.786
1823,80.851
1824,80.883
1825,80.948
1826,80.980
1827,81.044
1828,81.077
1829,81.141
1830,81.173
1831,81.238
1832,81.270
1833,81.335
1834,81.399
1835,81.432
1836,81.496
1837,81.528
1838,81.593
1839,81.625
1840,81.690
1841,81.722
1842,81.754
1843,81.786
1844,81.851
1845,81.883
1846,81.915
1847,81.948
1848,82.012
1849,82.045
1850,82.077
1851,82.109
1852,82.174
1853,82.206
1854,82.238
1855,82.270
1856,82.335
1857,82.367
1858,82.399
1859,82.432
1860,82.496
1861,82.528
1862,82.561
1863,82.593
1864,82.657
1865,82.690
1866,82.722
1867,82.754
1868,82.819
1869,82.851
1870,82.883
1871,82.916
1872,82.980
1873,83.012
1874,83.045
1875,83.077
1876,83.141
1877,83.174
1878,83.206
1879,83.238
1880,83.303
1881,83.335
1882,83.367
1883,83.399
1884,83.464
1885,83.496
1886,83.529
1887,83.561
1888,83.625
1889,83.658
1890,83.690
1891,83.754
1892,83.787
1893,83.851
1894,83.916
1895,83.948
1896,84.012
1897,84.045
1898,84.109
1899,84.141
1900,84.206
1901,84.238
1902,84.303
1903,84.335
1904,84.400
1905,84.464
1906,84.496
1907,84.561
1908,84.593
1909,84.658
1910,84.690
1911,84.754
1912,84.787
1913,84.851
1914,84.916
1915,84.948
1916,85.013
1917,85.045
1918,85.109
1919,85.142
1920,85.206
1921,85.238
1922,85.271
1923,85.303
1924,85.367
1925,85.400
1926,85.432
1927,85.464
1928,85.529
1929,85.561
1930,85.593
1931,85.625
1932,85.690
1933,85.722
1934,85.755
1935,85.787
1936,85.851
1937,85.884
1938,85.916
1939,85.948
1940,86.013
1941,86.045
1942,86.077
1943,86.109
1944,86.174
1945,86.206
1946,86.271
1947,86.335
1948,86.367
1949,86.432
1950,86.464
1951,86.529
1952,86.561
1953,86.626
1954,86.658
1955,86.722
1956,86.787
1957,86.819
1958,86.884
1959,86.916
1960,86.980
1961,87.013
1962,87.077
1963,87.109
1964,87.174
1965,87.239
1966,87.271
1967,87.335
1968,87.368
1969,87.432
1970,87.464
1971,87.529
1972,87.561
1973,87.626
1974,87.690
1975,87.722
1976,87.787
1977,87.819
1978,87.884
1979,87.916
1980,87.981
1981,88.013
1982,88.077
1983,88.142
1984,88.174
1985,88.239
1986,88.271
1987,88.335
1988,88.368
1989,88.432
1990,88.464
1991,88.529
1992,88.561
1993,88.626
1994,88.690
1995,88.723
1996,88.787
1997,88.819
1998,88.884
1999,88.916
2000,88.981
2001,89.013
2002,89.077
2003,89.142
2004,89.174
2005,89.239
2006,89.271
2007,89.336
2008,89.368
2009,89.432
2010,89.465
2011,89.529
2012,89.594
2013,89.626
2014,89.690
2015,89.723
2016,89.787
2017,89.819
2018,89.884
2019,89.916
2020,89.981
2021,90.045
2022,90.078
2023,90.110
2024,90.142
2025,90.207
2026,90.239
2027,90.271
2028,90.303
2029,90.368
2030,90.400
2031,90.432
2032,90.465
2033,90.529
2034,90.561
2035,90.626
2036,90.658
2037,90.723
2038,90.755
2039,90.820
2040,90.852
2041,90.916
2042,90.981
2043,91.013
2044,91.078
2045,91.110
2046,91.174
2047,91.207
2048,91.271
2049,91.303
2050,91.368
2051,91.400
2052,91.465
2053,91.529
2054,91.562
2055,91.626
2056,91.658
2057,91.723
2058,91.755
2059,91.820
2060,91.852
2061,91.916
2062,91.981
2063,92.013
2064,92.078
2065,92.110
2066,92.174
2067,92.207
2068,92.271
2069,92.304
2070,92.368
2071,92.433
2072,92.465
